ID;Nome;Artista;Ano
1;Little Darling;Lana Bittencourt;1958
2;Cabecinha no Ombro;Alcides Gerardi;1958
3;Sereno;Paulo Molin;1958
4;Ouça;Maysa;1958
5;Nel Blu Dipinto Di Blu (Volare);Domenico Modugno;1958
6;Fascinação;Gilberto Alves;1958
7;Abismo;Anísio Silva;1958
8;Escultura;Nelson Gonçalves;1958
9;Love Me Forever;The Playings;1958
10;Patricia;Emilinha Borba;1958
11;Fanzoca do Rádio;Carequinha;1958
12;Cachito;Nat King Cole;1958
13;Alone;Lana Bittencourt;1958
14;O Gondoleiro;Neuza Maria;1958
15;Covarde;Fernando Barreto;1958
16;Diana;Paul Anka;1958
17;Se Todos Fossem Iguais a Você;Agostinho dos Santos;1958
18;Castigo;Roberto Luna;1958
19;Moda da Pinga (Marvada Pinga);Inezita Barroso;1958
20;Babalu;Angela Maria;1958
21;A Taça do Mundo é Nossa;Coral do Caneco;1958
22;Balada Triste;Agostinho dos Santos;1958
23;O Apito no Samba;Marlene;1958
24;Linda;Cauby Peixoto;1958
25;Around The World;Victor Young;1958
26;Diana;Carlos Gonzaga;1958
27;Eu Não Existo Sem Você;Maysa;1958
28;It's Not For Me To Say;Johnny Mathis;1958
29;Patricia;Perez Prado;1958
30;Interesseira;Anísio Silva;1958
31;Marcelino Pão e Vinho;Wilma Bentivegna;1958
32;Little Darlin';The Diamonds;1958
33;When;Kalin Twins;1958
34;Chega de Saudade;João Gilberto;1958
35;Viva o Meu Samba;Silvio Caldas;1958
36;Marcha da Fofoca;César de Alencar;1958
37;Amarras;Oscar Ferreira;1958
38;An Affair To Remember;Vic Damone;1958
39;Creio em Ti;Francisco Egydio;1958
40;Apaixonada;Angela Maria;1958
41;Tequila;The Champs;1958
42;Nel Blu Dipinto Di Blu (Volare);Leny Eversong;1958
43;Matilda;Harry Belafonte;1958
44;Arrependida;Morgana;1958
45;Till;Percy Faith;1958
46;Balada dos Anjos;Gordon Jenkins;1958
47;Abandono Cruel;Carlos Augusto;1958
48;Pensando em Ti;Nelson Gonçalves;1958
49;Eu Não Existo Sem Você;Carlos José;1958
50;Long Tall Sally;Little Richard;1958
51;Calipso Italiano;Renato de Oliveira;1958
52;Who's Sorry Now;Connie Francis;1958
53;Balada Triste;Angela Maria;1958
54;Cansei de Ilusões;Isaura Garcia;1958
55;Bambina;Francisco Carlos;1958
56;With All My Heart;Lana Bittencourt;1958
57;All The Way;Frank Sinatra;1958
58;Chove Lá Fora;The Platters;1958
59;Conselho (Summertime);Lana Bittencourt;1958
60;Bernardine;Pat Boone;1958
61;Desolação;Agostinho dos Santos;1958
62;Castigo;Nora Ney;1958
63;Estrada de Sol;Agostinho dos Santos;1958
64;Cervezza;Silvio Mazzuca;1958
65;Bom Que Dói;Marlene;1958
66;Banana Split;The Playings;1958
67;Fascination;Jane Morgan;1958
68;Foi a Noite;Isaura Garcia;1958
69;Cu-Cu-Ru-Cu-Cu Paloma;Duo Guarujá;1958
70;Tequila;Silvio Mazzuca;1958
71;Baiano Burro Nasce Morto;Gordurinha;1958
72;Fracasso;Dorinha Freitas;1958
73;Garufa;João Dias;1958
74;Castigo;Dolores Duran;1958
75;Casinha Pequenina;Cascatinha & Inhana;1958
76;Incerteza;Ivete Siqueira;1958
77;Cacho de Banana;Arrelia & Pimentinha;1958
78;Serenata do Adeus;Morgana;1958
79;Crazy Love;Paul Anka;1958
80;Cabeçinha no Ombro;Duo Guarujá;1958
81;Baião da Serra Grande;Palmeira & Biá;1958
82;Lampião de Gás;Inezita Barroso;1958
83;Forgive Me;Tony Campello;1958
84;Caruaru;Dalva de Oliveira;1958
85;Le Gondolier;Franck Pourcel;1958
86;Meu Anjo Especial;Nilza Miranda;1958
87;Dobradinho;Luiz Bonfá;1958
88;Frô do Ipê;Cascatinha & Inhana;1958
89;Mamãe Eu Levei Bomba;Dircinha Batista;1958
90;Peanuts;Little Joe;1958
91;Prece;Agnaldo Rayol;1958
92;Azul Pintado de Azulo;Roberto Audi & Leny Eversong;1958
93;Noite Cheia de Estrelas;Poly & Seu Conjunto;1958
94;Melodia de Amor;Onilda Figueiredo;1958
95;Mambo Rock;Bill Haley & His Comets;1958
96;Prece ao Vento;Gilvan Chaves;1958
97;Guarde a Sandália Dela;Germano Mathias;1958
98;Garoa;Albertinho Fortuna;1958
99;Nova Flor (O Homem Não Deve Chorar);Palmeira & Biá;1958
100;Torero;Hector Lagna Fietta;1958
101;Estúpido Cupido;Celly Campelo;1959
102;Vai, Mas Vai Mesmo;Nora Ney;1959
103;Smoke Gets In Your Eyes;The Platters;1959
104;Quem é?;Osmar Navarro;1959
105;A Felicidade;Agostinho dos Santos;1959
106;Laçinhos Cor de Rosa;Celly Campello;1959
107;Deusa do Asfalto;Nelson Gonçalves;1959
108;Perfume de Gardenia;Bienvenido Granda;1959
109;Dindi;Sylvia Telles;1959
110;Não Diga o Nome;Anísio Silva;1959
111;Ave Maria Lola;Carlos Galhardo;1959
112;Ciclone;Carlos Nobre;1959
113;Madureira Chorou;Germano Mathias;1959
114;Na Cadência do Samba;Elizeth Cardoso;1959
115;Tu Somente Tu;Anísio Silva;1959
116;Recado;Maysa;1959
117;I Need Your Love Tonight;Elvis Presley;1959
118;Por Uma Noite Ainda;Orlando Dias;1959
119;Petite Fleur;Bob Crosby Orchestra;1959
120;Mack The Knife;Bobby Darin;1959
121;Meu Segredo;Luis Claudio;1959
122;Siete Notas de Amor;Trio Los Panchos;1959
123;Comme Prima;Trigêmeos Vocalistas;1959
124;Piston de Gafieira;Silvio Caldas;1959
125;Quero Beijar-te as Mãos;Anísio Silva;1959
126;Roseli;Sid Grey Orchestra;1959
127;Oh Carol;Neil Sedaka;1959
128;Eu Sei Que Vou Te Amar;Elza Laranjeira;1959
129;A Certain Smile;Johnny Mathis;1959
130;Se Eu Pudesse;Orlando Dias;1959
131;Personality;Don Taylor;1959
132;Felicidade;Zezé Gonçalves;1959
133;Prece ao Sol;Nelson Gonçalves;1959
134;Fim de Estrada;Carlos Galhardo;1959
135;King Creole;Elvis Presley;1959
136;Meu Coração Canta;Carlos Gonzaga;1959
137;Venus;Frankie Avalon;1959
138;Piove;Angela Maria;1959
139;Sax Cantabili;Silvio Mazzuca;1959
140;Comme Prima;Umberto Marcato;1959
141;Jambalaya;Brenda Lee;1959
142;Brigas, Nunca Mais;Marlene;1959
143;Personality;Lloyd Price;1959
144;Chiclete Com Banana;Jackson do Pandeiro;1959
145;Pombo Correio;Gilberto Alves;1959
146;Hino ao Amor;Wilma Bentivegna;1959
147;Ela Disse-me Assim;Jamelão;1959
148;Revolta;Nelson Gonçalves;1959
